"barcode"	"plateRow"	"plateColumn"	"Plate ID"	"ValidObjectCount"
"100701TL_HEK_Test_Traf_robot"	7	3	503	1010.0
"100701TL_HEK_Test_Traf_robot"	7	4	503	1641.0
"100701TL_HEK_Test_Traf_robot"	7	5	503	762.0
"100701TL_HEK_Test_Traf_robot"	7	6	503	1358.0
"100701TL_HEK_Test_Traf_robot"	7	7	503	1434.0
"100701TL_HEK_Test_Traf_robot"	7	8	503	1640.0
"100701TL_HEK_Test_Traf_robot"	7	9	503	876.0
"100701TL_HEK_Test_Traf_robot"	7	10	503	805.0
"100701TL_HEK_Test_Traf_robot"	7	11	503	192.0
"100701TL_HEK_Test_Traf_robot"	7	12	503	395.0
"100701TL_HEK_Test_Traf_robot"	7	13	503	386.0
"100701TL_HEK_Test_Traf_robot"	7	14	503	312.0
"100701TL_HEK_Test_Traf_robot"	7	15	503	3949.0
"100701TL_HEK_Test_Traf_robot"	7	16	503	3639.0
"100701TL_HEK_Test_Traf_robot"	7	17	503	3617.0
"100701TL_HEK_Test_Traf_robot"	7	18	503	3535.0
"100701TL_HEK_Test_Traf_robot"	7	19	503	
"100701TL_HEK_Test_Traf_robot"	7	20	503	
"100701TL_HEK_Test_Traf_robot"	7	21	503	
"100701TL_HEK_Test_Traf_robot"	7	22	503	
"100701TL_HEK_Test_Traf_robot"	7	23	503	
"100701TL_HEK_Test_Traf_robot"	7	24	503	
"100701TL_HEK_Test_Traf_robot"	8	1	503	
"100701TL_HEK_Test_Traf_robot"	8	2	503	
"100701TL_HEK_Test_Traf_robot"	8	3	503	688.0
"100701TL_HEK_Test_Traf_robot"	8	4	503	1222.0
"100701TL_HEK_Test_Traf_robot"	8	5	503	994.0
"100701TL_HEK_Test_Traf_robot"	8	6	503	711.0
"100701TL_HEK_Test_Traf_robot"	8	7	503	1497.0
"100701TL_HEK_Test_Traf_robot"	8	8	503	1065.0
"100701TL_HEK_Test_Traf_robot"	8	9	503	692.0
"100701TL_HEK_Test_Traf_robot"	8	10	503	833.0
"100701TL_HEK_Test_Traf_robot"	8	11	503	229.0
"100701TL_HEK_Test_Traf_robot"	8	12	503	305.0
"100701TL_HEK_Test_Traf_robot"	8	13	503	251.0
"100701TL_HEK_Test_Traf_robot"	8	14	503	634.0
"100701TL_HEK_Test_Traf_robot"	8	15	503	4048.0
"100701TL_HEK_Test_Traf_robot"	8	16	503	2987.0
"100701TL_HEK_Test_Traf_robot"	8	17	503	4139.0
"100701TL_HEK_Test_Traf_robot"	8	18	503	4311.0
"100701TL_HEK_Test_Traf_robot"	8	19	503	
"100701TL_HEK_Test_Traf_robot"	8	20	503	
"100701TL_HEK_Test_Traf_robot"	8	21	503	
"100701TL_HEK_Test_Traf_robot"	8	22	503	
"100701TL_HEK_Test_Traf_robot"	8	23	503	
"100701TL_HEK_Test_Traf_robot"	8	24	503	
"100701TL_HEK_Test_Traf_robot"	9	1	503	
"100701TL_HEK_Test_Traf_robot"	9	2	503	
"100701TL_HEK_Test_Traf_robot"	9	3	503	1578.0
"100701TL_HEK_Test_Traf_robot"	9	4	503	2177.0
"100701TL_HEK_Test_Traf_robot"	9	5	503	3486.0
"100701TL_HEK_Test_Traf_robot"	9	6	503	2815.0
"100701TL_HEK_Test_Traf_robot"	9	7	503	1290.0
"100701TL_HEK_Test_Traf_robot"	9	8	503	1345.0
"100701TL_HEK_Test_Traf_robot"	9	9	503	2217.0
"100701TL_HEK_Test_Traf_robot"	9	10	503	3141.0
"100701TL_HEK_Test_Traf_robot"	9	11	503	999.0
"100701TL_HEK_Test_Traf_robot"	9	12	503	415.0
"100701TL_HEK_Test_Traf_robot"	9	13	503	3660.0
"100701TL_HEK_Test_Traf_robot"	9	14	503	1931.0
"100701TL_HEK_Test_Traf_robot"	9	15	503	3719.0
"100701TL_HEK_Test_Traf_robot"	9	16	503	3425.0
"100701TL_HEK_Test_Traf_robot"	9	17	503	3795.0
"100701TL_HEK_Test_Traf_robot"	9	18	503	3653.0
"100701TL_HEK_Test_Traf_robot"	9	19	503	
"100701TL_HEK_Test_Traf_robot"	9	20	503	
"100701TL_HEK_Test_Traf_robot"	9	21	503	
"100701TL_HEK_Test_Traf_robot"	9	22	503	
"100701TL_HEK_Test_Traf_robot"	9	23	503	
"100701TL_HEK_Test_Traf_robot"	9	24	503	
"100701TL_HEK_Test_Traf_robot"	10	1	503	
"100701TL_HEK_Test_Traf_robot"	10	2	503	
"100701TL_HEK_Test_Traf_robot"	10	3	503	1243.0
"100701TL_HEK_Test_Traf_robot"	10	4	503	1007.0
"100701TL_HEK_Test_Traf_robot"	10	5	503	3263.0
"100701TL_HEK_Test_Traf_robot"	10	6	503	2866.0
"100701TL_HEK_Test_Traf_robot"	10	7	503	1418.0
"100701TL_HEK_Test_Traf_robot"	10	8	503	1276.0
"100701TL_HEK_Test_Traf_robot"	10	9	503	3107.0
"100701TL_HEK_Test_Traf_robot"	10	10	503	3164.0
"100701TL_HEK_Test_Traf_robot"	10	11	503	452.0
"100701TL_HEK_Test_Traf_robot"	10	12	503	331.0
"100701TL_HEK_Test_Traf_robot"	10	13	503	3741.0
"100701TL_HEK_Test_Traf_robot"	10	14	503	3146.0
"100701TL_HEK_Test_Traf_robot"	10	15	503	3610.0
"100701TL_HEK_Test_Traf_robot"	10	16	503	3335.0
"100701TL_HEK_Test_Traf_robot"	10	17	503	3375.0
"100701TL_HEK_Test_Traf_robot"	10	18	503	3530.0
"100701TL_HEK_Test_Traf_robot"	10	19	503	
"100701TL_HEK_Test_Traf_robot"	10	20	503	
"100701TL_HEK_Test_Traf_robot"	10	21	503	
"100701TL_HEK_Test_Traf_robot"	10	22	503	
"100701TL_HEK_Test_Traf_robot"	10	23	503	
"100701TL_HEK_Test_Traf_robot"	10	24	503	
"100701TL_HEK_Test_Traf_robot"	11	1	503	
"100701TL_HEK_Test_Traf_robot"	11	2	503	
"100701TL_HEK_Test_Traf_robot"	11	3	503	1145.0
"100701TL_HEK_Test_Traf_robot"	11	4	503	1334.0
"100701TL_HEK_Test_Traf_robot"	11	5	503	3150.0
"100701TL_HEK_Test_Traf_robot"	11	6	503	2692.0
"100701TL_HEK_Test_Traf_robot"	11	7	503	1153.0
"100701TL_HEK_Test_Traf_robot"	11	8	503	626.0
"100701TL_HEK_Test_Traf_robot"	11	9	503	2907.0
"100701TL_HEK_Test_Traf_robot"	11	10	503	2642.0
"100701TL_HEK_Test_Traf_robot"	11	11	503	458.0
"100701TL_HEK_Test_Traf_robot"	11	12	503	397.0
"100701TL_HEK_Test_Traf_robot"	11	13	503	3382.0
"100701TL_HEK_Test_Traf_robot"	11	14	503	3225.0
"100701TL_HEK_Test_Traf_robot"	11	15	503	3523.0
"100701TL_HEK_Test_Traf_robot"	11	16	503	3344.0
"100701TL_HEK_Test_Traf_robot"	11	17	503	3025.0
"100701TL_HEK_Test_Traf_robot"	11	18	503	3194.0
"100701TL_HEK_Test_Traf_robot"	11	19	503	
"100701TL_HEK_Test_Traf_robot"	11	20	503	
"100701TL_HEK_Test_Traf_robot"	11	21	503	
"100701TL_HEK_Test_Traf_robot"	11	22	503	
"100701TL_HEK_Test_Traf_robot"	11	23	503	
"100701TL_HEK_Test_Traf_robot"	11	24	503	
"100701TL_HEK_Test_Traf_robot"	12	1	503	
"100701TL_HEK_Test_Traf_robot"	12	2	503	
"100701TL_HEK_Test_Traf_robot"	12	3	503	
"100701TL_HEK_Test_Traf_robot"	12	4	503	
"100701TL_HEK_Test_Traf_robot"	12	5	503	
"100701TL_HEK_Test_Traf_robot"	12	6	503	
"100701TL_HEK_Test_Traf_robot"	12	7	503	
"100701TL_HEK_Test_Traf_robot"	12	8	503	
"100701TL_HEK_Test_Traf_robot"	12	9	503	
"100701TL_HEK_Test_Traf_robot"	12	10	503	
"100701TL_HEK_Test_Traf_robot"	12	11	503	
"100701TL_HEK_Test_Traf_robot"	12	12	503	
"100701TL_HEK_Test_Traf_robot"	12	13	503	
"100701TL_HEK_Test_Traf_robot"	12	14	503	
"100701TL_HEK_Test_Traf_robot"	12	15	503	
"100701TL_HEK_Test_Traf_robot"	12	16	503	
"100701TL_HEK_Test_Traf_robot"	12	17	503	
"100701TL_HEK_Test_Traf_robot"	12	18	503	
"100701TL_HEK_Test_Traf_robot"	12	19	503	
"100701TL_HEK_Test_Traf_robot"	12	20	503	
"100701TL_HEK_Test_Traf_robot"	12	21	503	
"100701TL_HEK_Test_Traf_robot"	12	22	503	
"100701TL_HEK_Test_Traf_robot"	12	23	503	
"100701TL_HEK_Test_Traf_robot"	12	24	503	
"100701TL_HEK_Test_Traf_robot"	13	1	503	
"100701TL_HEK_Test_Traf_robot"	13	2	503	
"100701TL_HEK_Test_Traf_robot"	13	3	503	
"100701TL_HEK_Test_Traf_robot"	13	4	503	
"100701TL_HEK_Test_Traf_robot"	13	5	503	
"100701TL_HEK_Test_Traf_robot"	13	6	503	
"100701TL_HEK_Test_Traf_robot"	13	7	503	
"100701TL_HEK_Test_Traf_robot"	13	8	503	
"100701TL_HEK_Test_Traf_robot"	13	9	503	
"100701TL_HEK_Test_Traf_robot"	13	10	503	
"100701TL_HEK_Test_Traf_robot"	13	11	503	
"100701TL_HEK_Test_Traf_robot"	13	12	503	
"100701TL_HEK_Test_Traf_robot"	13	13	503	
"100701TL_HEK_Test_Traf_robot"	13	14	503	
"100701TL_HEK_Test_Traf_robot"	13	15	503	
"100701TL_HEK_Test_Traf_robot"	13	16	503	
"100701TL_HEK_Test_Traf_robot"	13	17	503	
"100701TL_HEK_Test_Traf_robot"	13	18	503	
"100701TL_HEK_Test_Traf_robot"	13	19	503	
"100701TL_HEK_Test_Traf_robot"	13	20	503	
"100701TL_HEK_Test_Traf_robot"	13	21	503	
"100701TL_HEK_Test_Traf_robot"	13	22	503	
"100701TL_HEK_Test_Traf_robot"	13	23	503	
"100701TL_HEK_Test_Traf_robot"	13	24	503	
"100701TL_HEK_Test_Traf_robot"	14	1	503	
"100701TL_HEK_Test_Traf_robot"	14	2	503	
"100701TL_HEK_Test_Traf_robot"	14	3	503	
"100701TL_HEK_Test_Traf_robot"	14	4	503	
"100701TL_HEK_Test_Traf_robot"	14	5	503	
"100701TL_HEK_Test_Traf_robot"	14	6	503	
"100701TL_HEK_Test_Traf_robot"	14	7	503	
"100701TL_HEK_Test_Traf_robot"	14	8	503	
"100701TL_HEK_Test_Traf_robot"	14	9	503	
"100701TL_HEK_Test_Traf_robot"	14	10	503	
"100701TL_HEK_Test_Traf_robot"	14	11	503	
"100701TL_HEK_Test_Traf_robot"	14	12	503	
"100701TL_HEK_Test_Traf_robot"	14	13	503	
"100701TL_HEK_Test_Traf_robot"	14	14	503	
"100701TL_HEK_Test_Traf_robot"	14	15	503	
"100701TL_HEK_Test_Traf_robot"	14	16	503	
"100701TL_HEK_Test_Traf_robot"	14	17	503	
"100701TL_HEK_Test_Traf_robot"	14	18	503	
"100701TL_HEK_Test_Traf_robot"	14	19	503	
"100701TL_HEK_Test_Traf_robot"	14	20	503	
"100701TL_HEK_Test_Traf_robot"	14	21	503	
"100701TL_HEK_Test_Traf_robot"	14	22	503	
"100701TL_HEK_Test_Traf_robot"	14	23	503	
"100701TL_HEK_Test_Traf_robot"	14	24	503	
"100701TL_HEK_Test_Traf_robot"	15	1	503	
"100701TL_HEK_Test_Traf_robot"	15	2	503	
"100701TL_HEK_Test_Traf_robot"	15	3	503	
"100701TL_HEK_Test_Traf_robot"	15	4	503	
"100701TL_HEK_Test_Traf_robot"	15	5	503	
"100701TL_HEK_Test_Traf_robot"	15	6	503	
"100701TL_HEK_Test_Traf_robot"	15	7	503	
"100701TL_HEK_Test_Traf_robot"	15	8	503	
"100701TL_HEK_Test_Traf_robot"	15	9	503	
"100701TL_HEK_Test_Traf_robot"	15	10	503	
"100701TL_HEK_Test_Traf_robot"	15	11	503	
"100701TL_HEK_Test_Traf_robot"	15	12	503	
"100701TL_HEK_Test_Traf_robot"	15	13	503	
"100701TL_HEK_Test_Traf_robot"	15	14	503	
"100701TL_HEK_Test_Traf_robot"	15	15	503	
"100701TL_HEK_Test_Traf_robot"	15	16	503	
"100701TL_HEK_Test_Traf_robot"	15	17	503	
"100701TL_HEK_Test_Traf_robot"	15	18	503	
"100701TL_HEK_Test_Traf_robot"	15	19	503	
"100701TL_HEK_Test_Traf_robot"	15	20	503	
"100701TL_HEK_Test_Traf_robot"	15	21	503	
"100701TL_HEK_Test_Traf_robot"	15	22	503	
"100701TL_HEK_Test_Traf_robot"	15	23	503	
"100701TL_HEK_Test_Traf_robot"	15	24	503	
"100701TL_HEK_Test_Traf_robot"	16	1	503	
"100701TL_HEK_Test_Traf_robot"	16	2	503	
"100701TL_HEK_Test_Traf_robot"	16	3	503	
"100701TL_HEK_Test_Traf_robot"	16	4	503	
"100701TL_HEK_Test_Traf_robot"	16	5	503	
"100701TL_HEK_Test_Traf_robot"	16	6	503	
"100701TL_HEK_Test_Traf_robot"	16	7	503	
"100701TL_HEK_Test_Traf_robot"	16	8	503	
"100701TL_HEK_Test_Traf_robot"	16	9	503	
"100701TL_HEK_Test_Traf_robot"	16	10	503	
"100701TL_HEK_Test_Traf_robot"	16	11	503	
"100701TL_HEK_Test_Traf_robot"	16	12	503	
"100701TL_HEK_Test_Traf_robot"	16	13	503	
"100701TL_HEK_Test_Traf_robot"	16	14	503	
"100701TL_HEK_Test_Traf_robot"	16	15	503	
"100701TL_HEK_Test_Traf_robot"	16	16	503	
"100701TL_HEK_Test_Traf_robot"	16	17	503	
"100701TL_HEK_Test_Traf_robot"	16	18	503	
"100701TL_HEK_Test_Traf_robot"	16	19	503	
"100701TL_HEK_Test_Traf_robot"	16	20	503	
"100701TL_HEK_Test_Traf_robot"	16	21	503	
"100701TL_HEK_Test_Traf_robot"	16	22	503	
"100701TL_HEK_Test_Traf_robot"	16	23	503	
"100701TL_HEK_Test_Traf_robot"	16	24	503	
"100708TL_HEK_Traf_Test2"	1	1	525	
"100708TL_HEK_Traf_Test2"	1	2	525	
"100708TL_HEK_Traf_Test2"	1	3	525	
"100708TL_HEK_Traf_Test2"	1	4	525	
"100708TL_HEK_Traf_Test2"	1	5	525	
"100708TL_HEK_Traf_Test2"	1	6	525	
"100708TL_HEK_Traf_Test2"	1	7	525	
"100708TL_HEK_Traf_Test2"	1	8	525	
"100708TL_HEK_Traf_Test2"	1	9	525	
"100708TL_HEK_Traf_Test2"	1	10	525	
"100708TL_HEK_Traf_Test2"	1	11	525	
"100708TL_HEK_Traf_Test2"	1	12	525	
"100708TL_HEK_Traf_Test2"	1	13	525	
"100708TL_HEK_Traf_Test2"	1	14	525	
"100708TL_HEK_Traf_Test2"	1	15	525	
"100708TL_HEK_Traf_Test2"	1	16	525	
"100708TL_HEK_Traf_Test2"	1	17	525	
"100708TL_HEK_Traf_Test2"	1	18	525	
"100708TL_HEK_Traf_Test2"	1	19	525	
"100708TL_HEK_Traf_Test2"	1	20	525	
"100708TL_HEK_Traf_Test2"	1	21	525	
"100708TL_HEK_Traf_Test2"	1	22	525	
"100708TL_HEK_Traf_Test2"	1	23	525	
"100708TL_HEK_Traf_Test2"	1	24	525	
"100708TL_HEK_Traf_Test2"	2	1	525	
"100708TL_HEK_Traf_Test2"	2	2	525	
"100708TL_HEK_Traf_Test2"	2	3	525	
"100708TL_HEK_Traf_Test2"	2	4	525	
"100708TL_HEK_Traf_Test2"	2	5	525	
"100708TL_HEK_Traf_Test2"	2	6	525	
"100708TL_HEK_Traf_Test2"	2	7	525	
"100708TL_HEK_Traf_Test2"	2	8	525	
"100708TL_HEK_Traf_Test2"	2	9	525	
"100708TL_HEK_Traf_Test2"	2	10	525	
"100708TL_HEK_Traf_Test2"	2	11	525	
"100708TL_HEK_Traf_Test2"	2	12	525	
"100708TL_HEK_Traf_Test2"	2	13	525	
"100708TL_HEK_Traf_Test2"	2	14	525	
"100708TL_HEK_Traf_Test2"	2	15	525	
"100708TL_HEK_Traf_Test2"	2	16	525	
"100708TL_HEK_Traf_Test2"	2	17	525	
"100708TL_HEK_Traf_Test2"	2	18	525	
"100708TL_HEK_Traf_Test2"	2	19	525	
"100708TL_HEK_Traf_Test2"	2	20	525	
"100708TL_HEK_Traf_Test2"	2	21	525	
"100708TL_HEK_Traf_Test2"	2	22	525	
"100708TL_HEK_Traf_Test2"	2	23	525	
"100708TL_HEK_Traf_Test2"	2	24	525	
"100708TL_HEK_Traf_Test2"	3	1	525	
"100708TL_HEK_Traf_Test2"	3	2	525	
"100708TL_HEK_Traf_Test2"	3	3	525	1291.0
"100708TL_HEK_Traf_Test2"	3	4	525	1146.0
"100708TL_HEK_Traf_Test2"	3	5	525	931.0
"100708TL_HEK_Traf_Test2"	3	6	525	2773.0
"100708TL_HEK_Traf_Test2"	3	7	525	1386.0
"100708TL_HEK_Traf_Test2"	3	8	525	1138.0
"100708TL_HEK_Traf_Test2"	3	9	525	2171.0
"100708TL_HEK_Traf_Test2"	3	10	525	1209.0
"100708TL_HEK_Traf_Test2"	3	11	525	245.0
"100708TL_HEK_Traf_Test2"	3	12	525	206.0
"100708TL_HEK_Traf_Test2"	3	13	525	308.0
"100708TL_HEK_Traf_Test2"	3	14	525	408.0
"100708TL_HEK_Traf_Test2"	3	15	525	243.0
"100708TL_HEK_Traf_Test2"	3	16	525	200.0
"100708TL_HEK_Traf_Test2"	3	17	525	138.0
"100708TL_HEK_Traf_Test2"	3	18	525	195.0
"100708TL_HEK_Traf_Test2"	3	19	525	
"100708TL_HEK_Traf_Test2"	3	20	525	
"100708TL_HEK_Traf_Test2"	3	21	525	
"100708TL_HEK_Traf_Test2"	3	22	525	
"100708TL_HEK_Traf_Test2"	3	23	525	
"100708TL_HEK_Traf_Test2"	3	24	525	
"100708TL_HEK_Traf_Test2"	4	1	525	
"100708TL_HEK_Traf_Test2"	4	2	525	
"100708TL_HEK_Traf_Test2"	4	3	525	374.0
